,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
761,2020-03-20,61.795,62.9575,57.0,57.31,56.19278,401693384,100423346,-4.485,-7.26,60.21,"March 20, 20",-0.0726
760,2020-03-23,57.02,57.1249,53.1525,56.0925,54.999001,336752832,84188208,-0.9275,-1.63,55.35,"March 23, 20",-0.0163
759,2020-03-24,59.09,61.9225,58.575,61.72,60.5168,287531092,71882773,2.63,4.45,60.33,"March 24, 20",0.0445
758,2020-03-25,62.6875,64.5625,61.075,61.38,60.18343,303602040,75900510,-1.3075,-2.09,62.93,"March 25, 20",-0.0209
757,2020-03-26,61.63,64.67,61.59,64.61,63.350468,252560596,63140149,2.98,4.84,63.19,"March 26, 20",0.0484
756,2020-03-27,63.1875,63.9675,61.7625,61.935,60.727612,204216612,51054153,-1.2525,-1.98,62.7,"March 27, 20",-0.0198
755,2020-03-30,62.685,63.88,62.35,63.7025,62.460648,167976440,41994110,1.0175,1.62,63.17,"March 30, 20",0.0162
754,2020-03-31,63.9,65.6225,63.0,63.5725,62.333191,197002004,49250501,-0.3275,-0.51252,64.11,"March 31, 20",-0.0051252
753,2020-04-01,61.625,62.18,59.7825,60.2275,59.053398,176046552,44011638,-1.3975,-2.27,60.98,"April 01, 20",-0.0227
752,2020-04-02,60.085,61.2875,59.225,61.2325,60.038799,165933972,41483493,1.1475,1.91,60.39,"April 02, 20",0.0191
751,2020-04-03,60.7,61.425,59.7435,60.3525,59.175961,129880068,32470017,-0.3475,-0.57249,60.45,"April 03, 20",-0.0057249
750,2020-04-06,62.725,65.7775,62.345,65.6175,64.33831,201820284,50455071,2.8925,4.61,64.04,"April 06, 20",0.0461
749,2020-04-07,67.7,67.925,64.75,64.8575,63.593136,202887324,50721831,-2.8425,-4.2,66.14,"April 07, 20",-0.042
748,2020-04-08,65.685,66.8425,65.3075,66.5175,65.220772,168895284,42223821,0.8325,1.27,66.19,"April 08, 20",0.0127
747,2020-04-09,67.175,67.5175,66.175,66.9975,65.691422,162116492,40529123,-0.1775,-0.26424,66.81,"April 09, 20",-0.0026424
746,2020-04-13,67.0775,68.425,66.4575,68.3125,66.980782,131022924,32755731,1.235,1.84,67.36,"April 13, 20",0.0184
745,2020-04-14,70.0,72.0625,69.5125,71.7625,70.363525,194994688,48748672,1.7625,2.52,71.29,"April 14, 20",0.0252
744,2020-04-15,70.6,71.5825,70.1575,71.1075,69.721298,131154564,32788641,0.5075,0.71884,70.93,"April 15, 20",0.0071884
743,2020-04-16,71.845,72.0494,70.5875,71.6725,70.275276,157125160,39281290,-0.1725,-0.2401,71.45,"April 16, 20",-0.002401
742,2020-04-17,71.1725,71.7363,69.215,70.7,69.321739,215249912,53812478,-0.4725,-0.66388,70.4,"April 17, 20",-0.0066388
741,2020-04-20,69.4875,70.42,69.2125,69.2325,67.882858,130015000,32503750,-0.255,-0.36697,69.75,"April 20, 20",-0.0036697
740,2020-04-21,69.07,69.3125,66.3575,67.0925,65.784554,180991572,45247893,-1.9775,-2.86,67.43,"April 21, 20",-0.0286
739,2020-04-22,68.4025,69.475,68.05,69.025,67.67939,117055368,29263842,0.6225,0.91005,68.75,"April 22, 20",0.0091005
